あい|愛|love
いきおい|勢い|force, vigor, energy, spirit
いきもの|生き物|living thing, animal
いくつ|幾つ|how many?, how old?
いくら|幾ら|how much?, how many?
いけない||must not do, bad, wrong, not good
いし|医師|doctor, physician
いし|意思|intention, purpose
いし|意志|will, volition
いじ|維持|maintenance, preservation
いしき|意識|consciousness, senses
いじょう|異常|strangeness, abnormality, disorder
いす|椅子|chair
いずみ|泉|spring, fountain
いずれ||where, which, who
いぜん|以前|ago, since, before, previous
いた|板|board, plank
いだい|偉大|greatness
いだく|抱く|to embrace; to hold in the arms||to harbor
いたずら||tease, prank, trick, practical joke
いただきます||expression of gratitude before meals
いただく|頂く|to receive, to take food or drink (hum)
いたみ|痛み|pain, ache, sore, grief, distress
いたる|至る|to come, to arrive
いち|市|market, fair
いち|位置|place, situation, position, location
いちじ|一時|moment, time
いちどに|一度に|all at once
いちば|市場|(the) market (as a concept)
いちばん|一番|best, first, number one
いつか||sometime, someday, one day
いっか|一家|a family, a household
いっしゅ|一種|a species, a kind, a variety
いっしゅん|一瞬|a moment, an instant
いっしょう|一生|whole life, a lifetime, all through life
いっそう|一層|much more, still more, all the more
いったい|一体|(1) one object, one body||(2) what on earth?, really?
いっち|一致|(1) coincidence, agreement||(2) conformity
いつでも||always, at all times
いっぱん|一般|general, universal, ordinary, average
いっぽう|一方|on the other hand
いつまでも||forever, for good, eternally
いつも|いつも|always, usually, every time
いどう|移動|removal, migration, movement
いとこ|従兄弟|cousin (male)
いね|稲|rice-plant
いねむり|居眠り|dozing, nodding off
いのち|命|command, life, destiny
いはん|違反|violation, transgression, breach
いふく|衣服|clothes
いま|居間|living room (western style)
いまに|今に|before long, even now
いまにも|今にも|at any time, soon
いや|否|no, the noes
いらい|以来|since, henceforth
いらい|依頼|(1) request, commission, dispatch||(2) dependence, trust
いらいら||getting nervous, irritation
いらっしゃい||welcome
いりょう|医療|medical care, medical treatment
いわ|岩|rock, crag
いわい|祝い|celebration,festival
いわう|祝う|to congratulate, to celebrate
いわば|言わば|so to speak
いわゆる||the so-called, so to speak
インク||ink
いんさつ|印刷|printing
いんしょう|印象|impression
いんたい|引退|retire
いんよう|引用|quotation, citation
ウイスキー||whisky
うわ|上|upper, outer, surface
うお|魚|fish
うがい||gargle, rinse mouth
うかがう|伺う|(hon) to visit, to ask, to inquire
うけとる|受け取る|to receive, to get, to accept
うごかす|動かす|to move, to shift
うさぎ|兎|rabbit
うし|牛|cattle, cow
うしなう|失う|to lose, to part with
うしろ|後|afterwards, since then, in the future
うそ|嘘|lie
うたがう|疑う|to doubt
うち|内|inside
うちゅう|宇宙|universe, space
うつ|うつ|to attack, to defeat, to destroy
うつす|移す|to remove, to transfer
うったえる|うったえる|to sue (a person), to resort to||to appeal to
うなる|うなる|to groan, to moan
うばう|奪う|to snatch away
うま|馬|(1) horse, (2) promoted bishop (shogi)
うまい|うまい|delicious
うまれ|生まれ|birth, birth-place
うめ|梅|plum, plum-tree
うらぎる|裏切る|to betray
うるさい|うるさい|noisy, loud, fussy
うれしい|うれしい|happy, glad, pleasant
うれる|売れる|to be sold
うわさ|噂|rumour, report, gossip
うん|運|fortune, luck
うんてん|運転|operation, motion, driving
うんどう|運動|motion, exercise
え|柄|handle, grip
えいえん|永遠|eternity, immortality
えいきゅう|永久|eternity, immortality
えいきょう|影響|influence, effect
えいぎょう|営業|business, trade, management
えいせい|衛星|satellite
えいよう|栄養|nutrition, nourishment
えがお|笑顔|smiling face
えがく|描く|to draw, to paint
えさ|餌|feed, bait
エネルギー||energy
える|得る|to get, to gain, to win
うる|得る|to be able to ...; can ...
えん|円|circle, money
えんき|延期|postponement, adjournment
えんぎ|演技|acting, performance
えんじょ|援助|assistance, aid, support
エンジン||engine
えんぜつ|演説|speech, address
えんそう|演奏|musical performance
えんそく|遠足|excursion, outing, trip
えんりょ|遠慮|diffidence, restraint, reserve
お|御|honourable
おい|老い|old age, the old
おいつく|追い付く|to overtake, to catch up (with)
おう|王|king
おう|追う|to chase, to run after
おうさま|王様|king
おうじ|王子|prince
おうじる|応じる|to respond, to satisfy, to comply with
おうだん|横断|crossing
おえる|終える|to finish
おおいに|大いに|very, much, greatly
おおう|覆う|to cover, to wrap
オーバー||(1) overcoat, (2) over
おおや|大家|rich family, distinguished family
おか|丘|hill, rising ground
おき|沖|open sea
おく|奥|interior; inner part; depth
おくる|贈る|to send, to give to
おこる|起こる|to occur, to happen
おさない|幼い|very young, childish
おさめる|収める|to obtain, to pay, to supply
おじいさん||grandfather, male senior-citizen
おしゃべり||chattering, talk, idle talk
おせん|汚染|pollution, contamination
おそらく||perhaps
おそれる|恐れる|to fear, to be afraid of
おそろしい|恐ろしい|terrible, dreadful
おたがい|お互い|mutual, reciprocal, each other
おだやか|穏やか|calm, gentle, quiet
おとこのひと|男の人|man
おとる|劣る|to fall behind, to be inferior to
おなか|お腹|stomach
おに|鬼|ogre, demon
おび|帯|band (e.g. conduction, valence)
おひる|お昼|lunch, noon
オフィス||office
おぼれる|溺れる|to be drowned, to indulge in
おまえ||you (vulgar)
おめでとう||Congratulations!
おめにかかる|お目に掛かる|to meet (someone of higher status)
おもいで|思い出|memories, recollections
おもに|主に|mainly, primarily
おもわず|思わず|unintentional, spontaneous
おや|親|parents
およぎ|泳ぎ|swimming
およそ||about, roughly, approximately
およぼす|及ぼす|to exert, to cause
おる|居る|to be (animate), to be, to exist
おろす|下す|to lower, to let go down
おろす|降ろす|to take down, to launch, to drop
おわり|終|the end
おん|音|sound, note
おん|恩|favour, obligation, debt of gratitude
おんだん|温暖|warmth
おんど|温度|temperature
か|可|passable
か|課|lesson; section; division
カー||car
カード||card
かい|会|meeting, party, association, club
かい|回|counter for occurrences
がい|害|injury, harm, damage
かいいん|会員|member, the membership
かいが|絵画|picture
かいがい|海外|foreign, abroad, overseas
かいけい|会計|account, finance, accountant
かいけつ|解決|settlement, solution, resolution
かいごう|会合|meeting, assembly
がいこう|外交|diplomacy
かいし|開始|start, beginning
かいしゃく|解釈|explanation, interpretation
がいしゅつ|外出|outing, going out
がいしょく|外食|eating out, dining out
かいぜん|改善|betterment, improvement
かいてき|快適|pleasant, agreeable, comfortable
かいふく|回復|recovery, improvement, restoration
かう|飼う|to keep, to raise, to feed
かえる|替える|to exchange||(something with equivalent value)
かえる|換える|to replace
かおり|香り|aroma, fragrance, scent, smell
がか|画家|painter, artist
かかえる|抱える|to hold or carry under or in the arms
かかく|価格|price, value, cost
かがく|化学|chemistry
かがやく|輝く|to shine, to glitter, to sparkle
かかり|係|official, duty, person in charge
かかる|掛かる|to take (e.g. time, money, etc),to hang
かかる||to suffer from (e.g. sickness)
かぎ|鍵|key
かぎる|限る|to restrict, to limit, to confine
かく|描く|to draw, to paint, to sketch
かぐ|家具|furniture
がく|学|learning, scholarship, knowledge
がく|額|forehead, brow
かくご|覚悟|resolution, resignation
かくじつ|確実|certainty, reliability, soundness
がくしゃ|学者|scholar
がくしゅう|学習|study, learning
かくす|隠す|to hide something
かくだい|拡大|magnification, enlargement
かくにん|確認|affirmation, confirmation
がくぶ|学部|department of a university
がくもん|学問|scholarship, study, learning
かくれる|隠れる|to hide, to be hidden
かげ|影|shade, shadow, other side
かげ|陰|shade, shadow, other side
かける|欠ける|to be lacking
かげん|加減|addition and subtraction
かこ|過去|the past, bygone days, the previous
かご|籠|basket, cage
かこむ|囲む|to surround, to encircle
かさい|火災|conflagration, fire
かし|貸し|loan, lending
かし|菓子|pastry
かじ|家事|housework, domestic chores
かしこい|賢い|wise, clever, smart
かしゅ|歌手|singer
かず|数|number, figure
かせぐ|稼ぐ|to earn income, to labor
かぞえる|数える|to count
かた|型|mold, model, style
かた|肩|shoulder
かたい|硬い|solid, hard
かたがた|方々|persons, they (of people)
かたな|刀|sword, saber, knife
かたる|語る|to talk, to tell, to recite
かち|勝ち|win, victory
かち|価値|value, worth, merit
がっかり||feel disappointed, be dejected
かっき|活気|energy, liveliness
がっき|学期|term (school)
かっこう|格好|shape, form, posture
かつどう|活動|action, activity
かつよう|活用|conjugation, practical use
かなしむ|悲しむ|to be sad, to mourn for, to regret
かならずしも|必ずしも|(not) always, (not) necessarily
かなり||considerably, fairly, quite
かね|金|(1) gold, (2) gold general (shogi)
かねもち|金持ち|rich man
かのう|可能|possible, practicable, feasible
かぶ|株|share, stock, stump (of tree)
かぶる|被る|to put on (one's head) ||to be covered with
かまう|構う|to mind, to care about
がまん|我慢|patience, endurance, perseverance
かみ|上|(1) first volume, (2) superior quality||(3) governmental
かみ|神|god
かみがた|髪型|hair style
かみなり|雷|thunder
かみのけ|髪の毛|hair (head)
かもく|科目|(school) subject, curriculum, course
かもしれない||may, might, perhaps, possibly
かよう|火曜|(abbr) Tuesday
から|空|emptiness; vacuum; blank
がら|柄|hilt (of a sword), haft (of a dagger)
かる|刈る|to cut (hair), to mow
かれら|彼等|they (usually male)
かわ|川|river
かわ|河|river, stream
かわ|皮|skin, hide, leather, fur, pelt, bark
かわ|革|leather
かわいそう||poor, pitiable, pathetic
かわいらしい||lovely, sweet
かん|缶|can, tin
かん|勘|perception, intuition, the sixth sense
かんがえ|考え|thinking, thought, ideas, intention
かんかく|感覚|sense, sensation
かんきゃく|観客|audience, spectator(s)
かんきょう|環境|environment, circumstance
かんげい|歓迎|welcome, reception
かんこう|観光|sightseeing
かんさつ|観察|observation, survey
かんじ|感じ|feeling, sense, impression
かんしゃ|感謝|thanks, gratitude
かんじゃ|患者|a patient
かんじょう|勘定|calculation, counting, consideration
かんじょう|感情|emotion(s), feeling(s), sentiment
かんじる|感じる|to feel, to sense, to experience
かんしん|感心|admiration, Well done!
かんしん|関心|concern, interest
かんする|関する|to concern, to be related
かんせい|完成|(1) complete, completion||(2) perfection, accomplishment
かんぜん|完全|perfection, completeness
かんどう|感動|being deeply moved
かんとく|監督|supervision
かんり|管理|management (e.g. of a business)
かんりょう|完了|completion, conclusion
かんれん|関連|relation, connection, relevance
ぎいん|議員|member of the Congress
きおく|記憶|memory, recollection, remembrance
きおん|気温|temperature
きかい|機械|machine, mechanism
ぎかい|議会|Diet, congress, parliament
きかん|期間|period, term
きかん|機関|organ, mechanism, facility,engine
きぎょう|企業|enterprise, undertaking
きく|効く|to be effective
きげん|機嫌|humour, temper, mood
きこう|気候|climate
きし|岸|bank, coast, shore
きじ|生地|cloth; fabric; dough
きじ|記事|article, news story, report
ぎし|技師|engineer, technician
きしゃ|記者|reporter
きず|傷|wound, injury, hurt, cut
きたい|期待|expectation, anticipation, hope
きたく|帰宅|returning home
きちょう|貴重|precious, valuable
ぎちょう|議長|chairman
きちんと||precisely, accurately
きつい||tight, close, intense
きづく|気付く|to notice, to recognize
きにいる|気に入る|to like; to be pleased with
きにゅう|記入|entry, filling in of forms
きねん|記念|commemoration, memory
きのう|機能|function, faculty
きのどく|気の毒|pitiful, a pity
きふ|寄付|contribution, donation
きぼう|希望|hope, wish, aspiration
きほん|基本|foundation, basis, standard
きまり|決まり|settlement, regulation, rule
きみ|気味|-like, -looking, -looked
きみょう|奇妙|strange, queer, curious
ぎむ|義務|duty, obligation, responsibility
ぎもん|疑問|question, doubt, suspicion
ぎゃく|逆|reverse, opposite
キャプテン||captain
キャンプ||camp
きゅう|九|nine
きゅう|旧|ex-
きゅう|級|class, grade, rank
きゅう|球|globe, sphere, ball
きゅうか|休暇|holiday, day off
きゅうけい|休憩|rest, break, recess
きゅうげき|急激|sudden; abrupt
きゅうしゅう|吸収|absorption, suction, attraction
きゅうじょ|救助|relief, aid, rescue
きゅうそく|急速|rapid (e.g. progress)
きゅうに|急に|rapidly; suddenly
きゅうりょう|給料|salary, wages
きよう|器用|skillful, handy
きょうかしょ|教科書|text book
きょうぎ|競技|game, match, contest
ぎょうぎ|行儀|manners
きょうきゅう|供給|supply, provision
きょうし|教師|teacher (classroom)
きょうじゅ|教授|teaching, instruction, professor
きょうちょう|強調|emphasis, stress, stressed point
きょうつう|共通|commonness, community
きょうどう|共同|cooperation, collaboration
きょうふ|恐怖|fear, dread, terror
きょうりょく|協力|cooperation, collaboration
きょうりょく|強力|powerful; strong
きょか|許可|permission, approval
きょく|局|bureau; department
きょだい|巨大|huge, gigantic, enormous
きらう|嫌う|to hate, to dislike
きり|霧|fog, mist
きれ|切れ|cloth, piece, cut, chop
きれる|切れる|(1) to cut well, to be sharp||(2) to break (off)
キロ||(abbr) kilo-, kilogram, kilometre
きろく|記録|record, minutes, document
ぎろん|議論|argument, discussion, dispute
きん|金|gold
ぎん|銀|silver
きんえん|禁煙|No Smoking!
きんがく|金額|amount of money
きんこ|金庫|safe, vault
きんし|禁止|prohibition, ban
きんせん|金銭|money, cash
きんぞく|金属|metal
きんだい|近代|present day
きんちょう|緊張|tension, mental strain, nervousness
きんにく|筋肉|muscle
きんゆう|金融|monetary circulation, credit situation
きんよう|金曜|(abbr) Friday
く|九|nine
く|句|sentence; passage; paragraph
くう|食う|(male) (vulg) to eat
ぐうぜん|偶然|(by) chance, unexpectedly, suddenly
くさい|臭い|stinking; smelly
くさり|鎖|chain
くさる|腐る|to rot, to go bad
くせ|癖|a habit
くだ|管|pipe, tube
ぐたい|具体|concrete, tangible, material
ぐたいてき|具体的|concrete; definite; specific
くださる|下さる|(hon) to give, to confer
くだり|下り|down-slope; train heading toward ||the ending point of its route
くつう|苦痛|pain, agony
ぐっすり||sound asleep, fast asleep
くべつ|区別|distinction, classification
くみ|組|class, group, team, set
くみあい|組合|association, union
くむ|組む|to put together
くもり|曇|cloudiness, cloudy weather, shadow
くらい|位|grade, rank, about
くらし|暮らし|living, livelihood
クラシック||classic(s)
くらす|暮らす|to live, to get along
グラス||(1) glass, (2) grass
グランド||gland, grand, (electrical) ground
クリーム||cream
くりかえす|繰り返す|to repeat, to do something over again
クリスマス||Christmas
くるう|狂う|to go mad, to get out of order
グループ||group
くるしい|苦しい|painful, difficult
くるしむ|苦しむ|to suffer, to groan, to be worried
くれ|暮れ|year end, sunset, nightfall, end
くろう|苦労|troubles, hardships
くわえる|加える|to append, to sum up, to add (up)
くわしい|詳しい|knowing very well, detailed
くわわる|加わる|to join in
くん|訓|native Japanese reading||of a Chinese character
ぐん|軍|army, force, troops
ぐんたい|軍隊|army, troops
くんれん|訓練|practice, training
げ|下|under, below, beneath
けい|計|plan
けいい|敬意|respect, honour
けいえい|経営|management, administration
けいかく|計画|plan, project, schedule, scheme
けいき|景気|condition, state, business (condition)
けいけん|経験|experience
けいこう|傾向|tendency,  trend, inclination
けいこく|警告|warning, advice
けいさん|計算|calculation, reckoning
けいじ|掲示|notice, bulletin
けいじ|刑事|criminal case, (police) detective
げいじゅつ|芸術|(fine) art, the arts
けいやく|契約|contract, compact, agreement
けいゆ|経由|go by the way,  via
ケース||case
ゲーム||game
けが|怪我|injury (to animate object), hurt
げき|劇|drama, play
げきじょう|劇場|theatre, playhouse
けしょう|化粧|make-up (cosmetic)
けち||stinginess, miser, miserliness
けっか|結果|result, consequence
けっかん|欠陥|defect, fault, deficiency
けっきょく|結局|after all, eventually
けっしん|決心|determination, resolution
けっせき|欠席|absence, non-attendance
けってい|決定|decision, determination
けってん|欠点|faults, defect, weakness
げつよう|月曜|Monday
けつろん|結論|conclusion
けむり|煙|smoke, fumes
けん|券|ticket, coupon
けん|県|prefecture
けん|軒|eaves
けんか|喧嘩|quarrel, (drunken) brawl
けんかい|見解|opinion, point of view
げんかい|限界|limit, bound
げんきん|現金|cash, ready money
げんご|言語|language
けんこう|健康|health, sound, wholesome
けんさ|検査|inspection, examination
げんざい|現在|present, up to now, current
げんじつ|現実|reality
げんしょう|現象|phenomenon
げんじょう|現状|present condition, existing state
けんせつ|建設|construction, establishment
げんだい|現代|nowadays, modern times, present-day
けんちく|建築|construction, architecture
けんとう|見当|aim, estimate, guess
けんとう|検討|consideration, investigation
げんば|現場|actual spot, scene, scene of the crime
けんぽう|憲法|constitution
けんり|権利|right, privilege
ご|後|afterwards, since then, in the future
ご|語|language, word
こい|恋|love, tender passion
こい|濃い|thick, dense, strong
こいびと|恋人|lover, sweetheart
こううん|幸運|good luck, fortune
こうえん|講演|lecture, address
こうか|効果|effect, effectiveness
こうか|硬貨|coin
こうか|高価|high price
ごうか|豪華|gorgeous, extravagance
ごうかく|合格|success, passing (e.g. exam)
こうかん|交換|exchange, interchange
こうくう|航空|aviation, flying
こうけい|光景|scene, spectacle
ごうけい|合計|sum total, total amount
こうげき|攻撃|attack, strike
こうけん|貢献|contribution, services
こうこく|広告|advertisement
こうさい|交際|company, friendship, association
こうしゃ|後者|the latter
こうば|工場|factory, plant
こうせい|構成|organization, composition
こうそく|高速|high speed, high gear
こうどう|行動|action, conduct, behaviour
ごうとう|強盗|robbery, burglary
こうふく|幸福|happiness, blessedness
こうへい|公平|fairness, impartial, justice
こうほ|候補|candidate; prospect
こうりょ|考慮|consideration, taking into account
こえる|越える|to exceed, to cross over
コーチ||coach
コード||code, cord
こおり|氷|ice, hail
こおる|凍る|to freeze, to be frozen
ゴール||goal
ごかい|誤解|misunderstanding
ごがく|語学|language study
こきゅう|呼吸|breath, respiration
こきょう|故郷|home town, birthplace
ごく|極|pole; climax; extreme
こくご|国語|national language
こくばん|黒板|blackboard
こくふく|克服|subjugation, conquest
こくみん|国民|national, people, citizen
こくもつ|穀物|grain, cereal, corn
ここ|ここ|here
こし|腰|hip
こしょう|故障|break-down, failure, out of order
こじん|個人|individual, personal
こす|越す|to go over (e.g. with audience)
こっか|国家|state, country, nation
こっかい|国会|National Diet, parliament, congress
こっきょう|国境|national or state border
こっせつ|骨折|bone fracture
こづつみ|小包|parcel, package
こと|事|thing, matter, fact
ことなる|異なる|to differ, to vary, to disagree
ことわざ|諺|proverb, maxim
ことわる|断る|to refuse, to decline
こな|粉|flour, meal, powder
この|この|this
このみ|好み|liking, taste, choice
このむ|好む|to like, to prefer
コピー||a copy
ごみ|塵|dust, dirt
こむぎ|小麦|wheat
ごめんなさい||I beg your pardon, excuse me
こや|小屋|hut, cabin, shed
これら||these
ころ|頃|time, about, approximately (time)
ころす|殺す|to kill
ころぶ|転ぶ|to fall down, to fall over
こんかい|今回|now, this time, lately
こんご|今後|from now on, hereafter
こんざつ|混雑|confusion, congestion
こんなに||like this, in this way
こんなん|困難|difficulty, distress
こんにち|今日|today, this day
こんにちは||hello
コンピューター||computer
こんやく|婚約|engagement, betrothal
こんらん|混乱|disorder, chaos, confusion
さ|差|difference, variation
サービス||service
さい|際|on the occasion of, circumstances
さいこう|最高|highest, supreme, the most
ざいさん|財産|property, fortune, assets
さいしゅう|最終|last, final, closing
さいちゅう|最中|in the middle of
さいてい|最低|least, lowest, worst
さいのう|才能|talent, ability
さいばん|裁判|trial, judgement
ざいりょう|材料|ingredients, material
さいわい|幸い|happiness, blessedness
サイン||(1) autograph, (2) sign, (3) sine
さかい|境|border, boundary, mental state
さからう|逆らう|to go against, to oppose
さかり|盛り|helping, serving
さぎょう|作業|work, operation
さく|昨|last (year), yesterday
さくひん|作品|work, performance, production
さくもつ|作物|produce (e.g. agricultural), crops
さくら|桜|cherry blossom, cherry tree
さけ|酒|alcohol, sake
さけぶ|叫ぶ|to shout, to cry
さける|避ける|to avoid
ささえる|支える|to support; to hold up
さす|指す|to point; to specify some person
ざせき|座席|seat
さそう|誘う|to invite; to induce
さつ|札|bill; paper money
さっか|作家|author, writer, novelist
さっきょく|作曲|composition
ざっと||roughly, in round numbers
さっぱり||feeling refreshed, feeling relieved
さて||well, now, then
さばく|砂漠|desert
さべつ|差別|discrimination
さほう|作法|manners, etiquette, propriety
さまざま|様々|varied, various
さます|覚ます|to awaken
さめる|覚める|to wake, to wake up
さゆう|左右|left and right
さら|皿|plate, dish
さらに|更に|furthermore, again, moreover
さる|去る|to leave, to go away
さる|猿|monkey
さわぎ|騒ぎ|uproar, disturbance
さんか|参加|participation
さんこう|参考|reference, consultation
さんせい|賛成|approval, agreement, support
さんそ|酸素|oxygen
さんぽ|散歩|walk, stroll
し|四|four
し|氏|family name, lineage, birth
し|詩|poem, verse of poetry
しあわせ|幸せ|happiness, good fortune
ジーンズ||jeans
ジェットき|ジェット機|jet aeroplane
じかに|直に|immediately, readily, directly
しかも||moreover, furthermore
しかる|叱る|to scold
しき|式|equation, formula, ceremony
じき|直|earnestly, immediately, exactly
じき|時期|time, season, period
しきゅう|支給|payment, allowance
しきりに||frequently, repeatedly
しげき|刺激|stimulus, impetus, incentive
しげん|資源|resources
じけん|事件|event, affair, incident
じこく|時刻|instant, time, moment
じさつ|自殺|suicide
じじつ|事実|fact, truth, reality
ししゅつ|支出|expenditure, expenses
じじょう|事情|circumstances, conditions
しじん|詩人|poet
じしん|自身|by oneself, personally
しずむ|沈む|to sink, to feel depressed
しぜん|自然|nature, spontaneous
しそう|思想|thought, idea
した|舌|tongue
しだい|次第|(1)order, precedence ||(2) circumstances
じたい|事態|situation, present state of affairs
したがう|従う|to obey, to follow
したがって|したがって|therefore, consequently
したく|支度|preparation
したしい|親しい|intimate, close (e.g. friend)
しち|七|seven
しつ|質|quality, nature (of person)
しつぎょう|失業|unemployment
じっけん|実験|experiment
じつげん|実現|implementation, realization
じっこう|実行|practice, execution, realization
じっさい|実際|practical, actual condition
じっし|実施|enforcement, to put into practice
じっと||firmly, patiently, quietly
じつに|実に|indeed, truly, surely
じつは|実は|as a matter of fact, by the way
しつぼう|失望|disappointment, despair
してん|支店|branch store (office)
しどう|指導|leadership, guidance, coaching
じどう|自動|automatic, self-motion
しな|品|thing, goods
しはい|支配|rule, control, direction
しばい|芝居|play, drama
しばしば||often, frequently
しばふ|芝生|lawn
しはらい|支払|payment
しはらう|支払う|to pay
しぼう|死亡|death, mortality
しほん|資本|funds, capital
しまい|姉妹|sisters
しまう|しまう|to finish, to do something completely
しまった|しまった|darn it!; darn!; oops!
じまん|自慢|pride, boast
じむ|事務|business, office work
しめす|示す|to show, to point out
しめる|占める|(1) to comprise, to make up (of)||(2) to hold, to occupy
しも|下|under, below, beneath
しも|霜|frost
じゃあ||well, well then
しゃっきん|借金|debt, loan, liabilities
しゃべる||to talk, to chat, to chatter
じゃま|邪魔|hindrance, intrusion
しゅう|週|week
しゅう|州|sandbank
じゅう|十|10, ten
じゅう|銃|gun
しゅうい|周囲|surroundings, circumference, environs
しゅうかく|収穫|harvest, crop
しゅうかん|週間|week, weekly
しゅうきょう|宗教|religion
じゅうし|重視|importance, stress,||serious consideration
しゅうしょく|就職|finding employment
ジュース||juice, soft drink
しゅうせい|修正|amendment, correction, modification
じゅうたい|渋滞|traffic jam, delay, stagnation
じゅうだい|重大|serious, important, grave
じゅうたく|住宅|resident, housing
しゅうだん|集団|group, mass
しゅうちゅう|集中|concentration, focusing the mind
しゅうにゅう|収入|income, receipts, revenue
じゅうみん|住民|citizens, inhabitants, residents
じゅうよう|重要|important, essential, principal
しゅうり|修理|repairing, mending
しゅぎ|主義|doctrine, rule, principle
しゅくはく|宿泊|lodging
しゅじゅつ|手術|surgical operation
しゅしょう|首相|Prime Minister
しゅだん|手段|means, way, measure
しゅちょう|主張|claim, request, assertion
しゅっしん|出身|graduate from, come from
しゅっせき|出席|attendance, presence
しゅっぱつ|出発|departure
しゅっぱん|出版|publication
しゅと|首都|capital city
しゅふ|主婦|housewife, mistress
しゅよう|主要|chief, main, principal, major
じゅよう|需要|demand, request
しゅるい|種類|variety, kind, type
じゅん|順|order, turn
しゅんかん|瞬間|moment, second, instant
じゅんちょう|順調|favourable, doing well
じゅんばん|順番|turn (in line), order of things
じゅんび|準備|preparation, arrangements
しよう|使用|use, application, utilization
しょう|小|smallness; small item
しょう|章|chapter, section
しょう|賞|prize, award
じょう|上|(1) first volume, (2) superior quality
しょうがい|障害|obstacle, impediment (fault)
しょうがくきん|奨学金|scholarship
じょうきゃく|乗客|passenger
じょうきょう|上京|proceeding to the capital (Tokyo)
じょうきょう|状況|situation, circumstances
じょうけん|条件|conditions, terms
しょうご|正午|noon, mid-day
しょうじき|正直|honesty, integrity, frankness
じょうしき|常識|common sense
しょうじょ|少女|young lady, little girl
しょうしょう|少々|just a minute, small quantity
しょうじょう|症状|symptoms, condition
しょうじる|生じる|to produce, to result from, to arise
しょうたい|招待|invitation
じょうたい|状態|condition, situation, state
じょうたつ|上達|improvement, advance, progress
じょうだん|冗談|jest, joke
しょうち|承知|consent, acceptance, assent
じょうとう|上等|superiority, first class, very good
しょうとつ|衝突|collision, conflict
しょうにん|商人|trader, shopkeeper, merchant
しょうにん|承認|recognition, acknowledgement, approval
しょうねん|少年|boys, juveniles
しょうばい|商売|trade, business, commerce
しょうひ|消費|consumption, expenditure
しょうひん|商品|goods, merchandise
しょうぼう|消防|fire fighting, fire department
じょうほう|情報|information
しょうめい|証明|proof, verification
じょおう|女王|queen
しょく|職|employment
しょくぎょう|職業|occupation, business
しょくじ|食事|meal
しょくたく|食卓|dining table
しょくひん|食品|commodity, foodstuff
しょくぶつ|植物|plant, vegetation
しょくもつ|食物|food, foodstuff
しょくよく|食欲|appetite (for food)
しょくりょう|食料|food
しょくりょう|食糧|provisions, rations
しょさい|書斎|study
じょし|女子|woman, girl
じょしゅ|助手|helper, assistant, tutor
じょじょに|徐々に|slowly, little by little, gradually
しょめい|署名|signature
しょもつ|書物|books
じょゆう|女優|actress
しょり|処理|processing, dealing with, treatment, disposal
しょるい|書類|documents, official papers
しらせ|知らせ|notice
しり|尻|buttocks, bottom
しるし|印|mark; symbol; evidence
